Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
s1-2_S14_concat	45.21450196435619	48.0	101.0	16.666666666666664	6374932.0
s1-3_S15_concat	32.87889823368198	47.0	101.0	25.0	5934832.0
s1-4_S16_concat	39.6382363240949	48.0	101.0	25.0	6320406.0
s1-7_S26_concat	38.28244154901077	47.0	101.0	25.0	7234460.0
s1-8_S27_concat	35.464653267585845	47.0	101.0	25.0	5837239.0
s1-9_S28_concat	43.27182666343291	49.0	101.0	25.0	6399666.0
s1A_S2_concat	30.57543530545152	45.0	101.0	25.0	6184219.0
s1B_S3_concat	36.09607001347159	47.0	101.0	25.0	5753421.0
s1C_S4_concat	35.27069953371547	47.0	101.0	25.0	5850174.0
s2-2_S17_concat	34.99064793167278	42.0	101.0	25.0	3422731.0
s2-3_S18_concat	36.26352761142082	46.0	101.0	25.0	5717599.0
s2-4_S19_concat	30.471726869145925	45.0	101.0	25.0	7418198.0
s2-7_S29_concat	66.17470900588836	48.0	101.0	33.33333333333333	5006420.0
s2-8_S30_concat	29.304547796209988	46.0	101.0	25.0	6152461.0
s2-9_S31_concat	28.91529852349231	46.0	101.0	25.0	6488880.0
s2B_S5_concat	39.67356562503714	47.0	101.0	25.0	6617481.0
s2C_S6_concat	53.119625704664955	48.0	101.0	33.33333333333333	4761827.0
s2D_S7_concat	57.45182822677275	48.0	101.0	33.33333333333333	5610361.0
s3-2_S20_concat	37.207931060139444	49.0	101.0	25.0	5595130.0
s3-3_S21_concat	29.5863748277216	47.0	101.0	25.0	5075551.0
s3-4_S22_concat	30.110976845751253	47.0	101.0	25.0	6016919.0
s3-6_S32_concat	41.037371506066535	48.0	101.0	25.0	6658394.0
s3-7_S33_concat	31.27899549993613	46.0	101.0	25.0	6815388.0
s3-8_S34_concat	28.894740362949378	46.0	101.0	25.0	5974532.0
s3A_S8_concat	53.13629076008848	48.0	101.0	25.0	4672657.0
s3B_S9_concat	31.28707515128852	45.0	101.0	25.0	6897381.0
s3C_S10_concat	48.06158662904612	48.0	101.0	25.0	5446730.0
s4-2_S23_concat	46.78472409574444	49.0	101.0	25.0	6570795.0
s4-3_S24_concat	34.616026269530224	48.0	101.0	25.0	6029261.0
s4-4_S25_concat	26.31892507841684	46.0	101.0	25.0	6138915.0
s4-6_S35_concat	43.88585621129849	48.0	101.0	25.0	8386490.0
s4-7_S36_concat	37.785066517251444	48.0	101.0	25.0	7382166.0
s4-8_S37_concat	30.862694598252375	47.0	101.0	25.0	6245815.0
s4A_S11_concat	43.119317238289746	47.0	101.0	25.0	7579792.0
s4B_S12_concat	46.06204276020509	48.0	101.0	25.0	5478645.0
s4C_S13_concat	37.8434244464217	47.0	101.0	25.0	7499384.0
