Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1-1_S223_concat	21.0796779763932	44.0	74.38743663930627	16.666666666666664	2280791.0
1-2_S224_concat	27.46310097030873	44.0	73.69859062228501	8.333333333333332	2279020.0
1-3_S225_concat	22.76212480994397	44.0	73.94242478778608	16.666666666666664	3067188.0
1-4_S226_concat	18.783200761855852	43.0	73.88742422534234	16.666666666666664	2536798.0
1-7_S239_concat	29.363000115004056	44.0	69.84836170394158	8.333333333333332	774158.0
1-8_S240_concat	23.323118577432993	44.0	69.13162955439496	8.333333333333332	775844.0
1-9_S241_concat	18.435694981151002	44.0	71.47237547827275	16.666666666666664	1405056.0
1-ten_S242_concat	21.053134974815578	44.0	71.11992869497514	16.666666666666664	1623448.0
1A_S211_concat	36.383772619437984	46.0	74.73815856812794	16.666666666666664	2753151.0
1B_S212_concat	39.43062917543888	47.0	74.28141746629419	16.666666666666664	1646600.0
1C_S213_concat	39.3233024047004	47.0	74.5784463273777	25.0	2585564.0
1D_S214_concat	44.41244952400542	47.0	74.78853174279269	16.666666666666664	3026057.0
2-1_S227_concat	18.504628290547018	43.0	69.96024308083216	16.666666666666664	501397.0
2-2_S228_concat	18.7848086437139	44.0	71.05779322029994	25.0	954939.0
2-3_S229_concat	23.00785749969593	43.0	68.94092756427354	25.0	663609.0
2-4_S230_concat	37.60836424909135	45.0	71.39464284657485	16.666666666666664	1858711.0
2-6_S243_concat	21.9449715447046	44.0	70.8658423481802	25.0	824843.0
2-7_S244_concat	18.722510000548183	44.0	71.02302103569347	16.666666666666664	1007383.0
2-8_S245_concat	15.081814620246377	44.0	70.12131052644274	16.666666666666664	912122.0
2-9_S246_concat	20.94109150406858	44.0	73.36449775081543	16.666666666666664	2911055.0
2-ten_S247_concat	18.513173234902396	43.0	70.77472141162818	8.333333333333332	1171980.0
2A_S215_concat	52.94380051737131	47.0	75.30244442788987	25.0	3087430.0
2B_S216_concat	45.9412330568296	47.0	74.79774144806353	16.666666666666664	2816672.0
2D_S217_concat	60.22021777285572	48.0	74.84382108128746	25.0	3216388.0
3-1_S231_concat	19.21837237141679	44.0	68.76782211150585	16.666666666666664	706510.0
3-2_S232_concat	30.790896314568926	42.0	61.787821402006315	16.666666666666664	497430.0
3-3_S233_concat	22.32332961650033	43.0	68.56631302912228	16.666666666666664	918266.0
3-4_S234_concat	34.023146420619014	44.0	68.53095903835718	16.666666666666664	1424479.0
3-6_S248_concat	28.535313029045568	44.0	68.55979225437629	8.333333333333332	695851.0
3-7_S249_concat	32.91195278255127	45.0	72.28189987076776	16.666666666666664	1785932.0
3-8_S250_concat	30.624380816265557	45.0	71.99658948814594	16.666666666666664	2236028.0
3A_S218_concat	16.651437729533583	43.0	71.52258786943686	25.0	1001998.0
3B_S219_concat	22.58058675696229	44.0	73.21789167582898	8.333333333333332	1070509.0
3C_S220_concat	48.45601107083506	46.0	73.59363245475016	16.666666666666664	2485479.0
4-1_S235_concat	17.846869390690458	43.0	70.085259463691	16.666666666666664	602936.0
4-2_S236_concat	22.340541779086166	43.0	66.54585838359587	8.333333333333332	411506.0
4-3_S237_concat	24.329047132169066	43.0	68.45217536117241	16.666666666666664	720570.0
4-4_S238_concat	25.238951683398753	44.0	71.0332787386836	16.666666666666664	1000098.0
4-6_S251_concat	28.572575859873382	44.0	70.32400024434925	8.333333333333332	1456931.0
4-7_S252_concat	16.5921651864589	44.0	72.15262869749246	25.0	1603722.0
4-8_S253_concat	22.891737103821868	43.0	71.68065314833638	25.0	1814228.0
4-9_S254_concat	27.279807841121936	44.0	72.64266657058393	16.666666666666664	2331324.0
4A_S221_concat	51.778410394541574	45.0	70.33925460828505	33.33333333333333	815759.0
4C_S222_concat	39.85671796701441	45.0	73.40815298867908	16.666666666666664	2261919.0
