Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
s1-2_S14_concat	53.38768750146641	47.0	75.74050260044194	16.666666666666664	2527455.0
s1-3_S15_concat	54.55591422402288	47.0	75.01914826133212	25.0	2919534.0
s1-4_S16_concat	57.33305070261727	47.0	75.68142464886286	16.666666666666664	2792997.0
s1-7_S26_concat	57.27868892305752	46.0	75.38639217329246	25.0	3203186.0
s1-8_S27_concat	57.7721065858443	47.0	75.56756058898854	25.0	2757473.0
s1-9_S28_concat	61.52066001609949	47.0	76.13882070777558	16.666666666666664	2636768.0
s1A_S2_concat	55.86123199491414	46.0	73.7157551476142	25.0	3045100.0
s1B_S3_concat	57.77654634748943	47.0	75.3617335183688	25.0	2682729.0
s1C_S4_concat	57.66524009077174	47.0	75.15563395458933	25.0	2760805.0
s2-2_S17_concat	29.118907193707216	45.0	72.142174892802	25.0	1443124.0
s2-3_S18_concat	51.101247350660714	46.0	75.15698596546443	16.666666666666664	2649963.0
s2-4_S19_concat	55.2326145436019	46.0	73.8892825574124	33.33333333333333	3689229.0
s2-7_S29_concat	38.16757423983822	47.0	75.08640426215956	16.666666666666664	1088650.0
s2-8_S30_concat	56.604723031784985	46.0	74.68732158586391	33.33333333333333	3149274.0
s2-9_S31_concat	58.47343297160709	47.0	75.03525856150365	25.0	3383547.0
s2B_S5_concat	58.15741051295731	46.0	75.04549842049842	25.0	2871792.0
s2C_S6_concat	53.63891318761909	47.0	75.85814876941593	33.33333333333333	1582785.0
s2D_S7_concat	55.64756253325104	47.0	75.75927975188564	16.666666666666664	1630216.0
s3-2_S20_concat	56.91028225756425	47.0	76.18519688804358	16.666666666666664	2626772.0
s3-3_S21_concat	56.65271003660524	47.0	74.94964413482315	33.33333333333333	2625573.0
s3-4_S22_concat	57.90581136430972	47.0	75.26142503856798	33.33333333333333	3095832.0
s3-6_S32_concat	55.662947233469325	47.0	75.98859307691988	16.666666666666664	2888772.0
s3-7_S33_concat	59.00152805126678	47.0	74.69548986701015	25.0	3377927.0
s3-8_S34_concat	58.47312939207306	46.0	74.49596469010412	25.0	3077211.0
s3A_S8_concat	48.73794966145125	47.0	75.6106435105413	16.666666666666664	1540845.0
s3B_S9_concat	56.47002166708977	46.0	74.14243551729815	33.33333333333333	3358769.0
s3C_S10_concat	57.58742884488283	47.0	75.88163284263202	33.33333333333333	2023906.0
s4-2_S23_concat	57.07658490584461	48.0	76.09133007185628	25.0	2524623.0
s4-3_S24_concat	55.71664059382972	47.0	75.54305225876045	25.0	2931298.0
s4-4_S25_concat	59.62691377172985	47.0	74.27618789976238	25.0	3319472.0
s4-6_S35_concat	61.45879490430717	47.0	75.89134867896317	33.33333333333333	3360088.0
s4-7_S36_concat	61.39027398585499	47.0	75.88486775266034	25.0	3381051.0
s4-8_S37_concat	60.27980959758625	47.0	75.30657809644	25.0	3152903.0
s4A_S11_concat	58.470746002486855	47.0	75.34807322890353	25.0	3077091.0
s4B_S12_concat	53.89864281783502	47.0	75.93932304434307	25.0	2145724.0
s4C_S13_concat	57.18637917040718	47.0	75.19842426054016	25.0	3365531.0
