Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
s1-2_S14_concat	s1-2_S14_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2527455.0	0.0	20-95	47.0	46.61231249853359	75.74050260044194	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	warn
s1-3_S15_concat	s1-3_S15_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2919534.0	0.0	20-95	47.0	45.44408577597712	75.01914826133212	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	warn
s1-4_S16_concat	s1-4_S16_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2792997.0	0.0	20-95	47.0	42.66694929738273	75.68142464886286	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	warn
s1-7_S26_concat	s1-7_S26_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	3203186.0	0.0	20-95	46.0	42.72131107694248	75.38639217329246	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass	warn
s1-8_S27_concat	s1-8_S27_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2757473.0	0.0	20-95	47.0	42.2278934141557	75.56756058898854	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	warn
s1-9_S28_concat	s1-9_S28_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2636768.0	0.0	20-95	47.0	38.47933998390051	76.13882070777558	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass	warn
s1A_S2_concat	s1A_S2_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	3045100.0	0.0	20-95	46.0	44.13876800508586	73.7157551476142	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	warn
s1B_S3_concat	s1B_S3_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2682729.0	0.0	20-95	47.0	42.22345365251057	75.3617335183688	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	warn
s1C_S4_concat	s1C_S4_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2760805.0	0.0	20-95	47.0	42.33475990922826	75.15563395458933	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	warn
s2-2_S17_concat	s2-2_S17_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1443124.0	0.0	20-95	45.0	70.88109280629278	72.142174892802	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass	fail
