Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
s1-2_S14_concat	s1-2_S14_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2424669.0	0.0	20-95	47.0	45.869701259170945	75.71429749792652	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	warn
s1-3_S15_concat	s1-3_S15_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2801156.0	0.0	20-95	47.0	44.58984628655336	74.98431290510061	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	warn
s1-4_S16_concat	s1-4_S16_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2680349.0	0.0	20-95	47.0	41.823290924004674	75.65982041890814	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	warn
s1-7_S26_concat	s1-7_S26_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	3075048.0	0.0	20-95	46.0	41.83010719234989	75.35941943020076	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	fail
s1-8_S27_concat	s1-8_S27_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2641222.0	0.0	20-95	47.0	41.283476450872094	75.542415593994	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	warn
s1-9_S28_concat	s1-9_S28_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2521815.0	0.0	20-95	47.0	37.50645946122589	76.12385920458082	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass	warn
s1A_S2_concat	s1A_S2_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2920682.0	0.0	20-95	46.0	43.30580053385421	73.67727743040838	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	fail
s1B_S3_concat	s1B_S3_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2571331.0	0.0	20-95	47.0	41.3651054083184	75.33512721621604	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	warn
s1C_S4_concat	s1C_S4_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2645227.0	0.0	20-95	47.0	41.410129663335724	75.13763922718164	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn
s2-2_S17_concat	s2-2_S17_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1375904.0	0.0	20-95	45.0	70.52207396706206	72.04960665860409	pass	pass	warn	pass	fail	pass	pass	warn	pass	warn	pass	warn
s2-3_S18_concat	s2-3_S18_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	2539338.0	0.0	20-95	46.0	48.10494318335765	75.12462539449258	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	warn
s2-4_S19_concat	s2-4_S19_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	3535222.0	0.0	20-95	46.0	43.83249940447765	73.84088127987437	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	warn
s2-7_S29_concat	s2-7_S29_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	1026879.0	0.0	20-95	47.0	61.20931468677245	75.0833038751401	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass	warn
s2-8_S30_concat	s2-8_S30_concat.fastq.trim	Conventional base calls	Sanger / Illumina 1.9	3025278.0	0.0	20-95	46.0	42.57920804127385	74.64306288546044	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	warn
